Company,MSE,Var3
AMD,0.000289854,0.011285854
Alphabet,0.000328486,0.03699829
Amazon,0.000384859,0.041988428
Apple,0.000831416,0.044326173
BHP Group Limited,0.000862567,0.015347291
Coca Cola,0.000945337,0.051387616
East Africa Metals,0.001157845,0.483313323
HSBC Holdings,0.001207186,0.102384032
Intel,0.001295159,0.072831488
Johnson and Johnson,0.003050332,0.049413927
L'Oreal,0.005859265,0.174740765
Meta,0.006657724,0.028276792
Microsoft,0.007479319,0.024885528
Nestle,0.007599726,0.049855178
Novartis AG,0.021622344,0.028157622
Proctor and Gamble,0.026000365,0.126287847
Samsung Electronics,0.041602214,0.020737847
Siemens AG,0.077928339,0.154387357
Tencent Holdings Limited,0.123486883,0.014930324
Toyota Motor Corporation,0.156136595,0.017593062
