Date,Close,Volume,SMA_50,SMA_200,RSI
2020-01-01,3352.8104691935328,1222992,,,
2020-01-02,6432.841910866977,1286670,,,100.0
2020-01-03,9628.589507688124,1083679,,,100.0
2020-01-06,13076.768147528415,1087109,,,100.0
2020-01-07,16450.279745558408,880155,,,100.0
2020-01-08,19254.824169583124,1006617,,,100.0
2020-01-09,22444.84185308824,829167,,,100.0
2020-01-10,25414.5704114287,856011,,,100.0
2020-01-13,28393.92664106999,821285,,,100.0
2020-01-14,31476.046341457662,968795,,,100.0
2020-01-15,34504.85505568984,1209818,,,100.0
2020-01-16,37795.70975708243,1634194,,,100.0
2020-01-17,40947.91730211183,1037899,,,100.0
2020-01-20,43972.2523054104,730317,,,100.0
2020-01-21,47061.02495195949,1252996,,,100.0
2020-01-22,50127.759817434344,939843,,,100.0
2020-01-23,53426.57563206586,867878,,,100.0
2020-01-24,56385.5439793127,1041969,,,100.0
2020-01-27,59448.15751964288,751875,,,100.0
2020-01-28,62277.338371782535,1044492,,,100.0
2020-01-29,64766.74040861572,982324,,,100.0
2020-01-30,67897.46412770379,1019675,,,100.0
2020-01-31,71070.35136747568,1076283,,,100.0
2020-02-03,73921.91836339439,1013498,,,100.0
2020-02-04,77375.86928819191,1003267,,,100.0
2020-02-05,80084.99615327216,1056862,,,100.0
2020-02-06,83094.14785673245,1083080,,,100.0
2020-02-07,86056.71108672729,793703,,,100.0
2020-02-10,89363.26692959898,714001,,,100.0
2020-02-11,92657.13868357903,987672,,,100.0
2020-02-12,95688.12816871841,713452,,,100.0
2020-02-13,98763.76067263885,1017506,,,100.0
2020-02-14,101586.20352311282,1187749,,,100.0
2020-02-17,104190.04422946804,1121422,,,100.0
2020-02-18,107120.46179960281,790365,,,100.0
2020-02-19,110151.73159342361,827947,,,100.0
2020-02-20,113397.78972956915,1065660,,,100.0
2020-02-21,116638.26569932603,919740,,,100.0
2020-02-24,119560.80033584444,936668,,,100.0
2020-02-25,122500.33978572937,1119381,,,100.0
2020-02-26,125290.62919271596,802542,,,100.0
2020-02-27,128006.62560528016,919753,,,100.0
2020-02-28,130665.37156715516,839983,,,100.0
2020-03-02,134055.52664620153,791374,,,100.0
2020-03-03,136953.5962098512,828584,,,100.0
2020-03-04,139865.98134952897,1135492,,,100.0
2020-03-05,142615.42227751898,1010364,,,100.0
2020-03-06,145770.92034868538,824167,,,100.0
2020-03-09,148448.1407791738,953779,,,100.0
2020-03-10,151405.592723131,672238,78416.73140783845,,100.0
2020-03-11,154226.49941089228,853337,81434.20518667244,,100.0
2020-03-12,157303.87991046414,1429914,84451.62594666437,,100.0
2020-03-13,160201.71888295037,981951,87463.08853416963,,100.0
2020-03-16,162965.5924461259,1146331,90460.86502014156,,100.0
2020-03-17,165959.95600045816,986902,93451.05854523955,,100.0
2020-03-18,169045.62237456423,1069633,96446.87450933918,,100.0
2020-03-19,172058.92581904086,1132651,99439.15618865823,,100.0
2020-03-20,175119.4201985888,779076,102433.25318440143,,100.0
2020-03-23,177992.5557798526,993812,105425.22576717711,,100.0
2020-03-24,180920.0075466552,1315773,108414.10499128103,,100.0
2020-03-25,183785.5154571,840899,111399.71819930924,,100.0
2020-03-26,186713.6048247919,886712,114378.07610066343,,100.0
2020-03-27,189550.975568383,938461,117350.13726598884,,100.0
2020-03-30,192205.71904791667,1053804,120314.80660083899,,100.0
2020-03-31,195241.20427636744,1104983,123278.41018732713,,100.0
2020-04-01,198160.8480891258,1253482,126239.07195276096,,100.0
2020-04-02,200834.80841973258,1099899,129187.2366085143,,100.0
2020-04-03,203927.36487083774,987589,132138.07302634482,,100.0
2020-04-06,206745.90519796108,1251833,135084.0279799112,,100.0
2020-04-07,209756.29427712032,1140822,138033.60709801794,,100.0
2020-04-08,212902.11238955584,700864,140996.3145376367,,100.0
2020-04-09,215927.90897170734,1505273,143956.9234345168,,100.0
2020-04-10,219155.789108616,1353984,146918.6321893396,,100.0
2020-04-13,221908.8239445453,966357,149878.37030096262,,100.0
2020-04-14,224989.2922727808,1075582,152830.6387606544,,100.0
2020-04-15,227852.33025459273,1264871,155785.98544268083,,100.0
2020-04-16,230678.17082475635,965559,158737.66590204128,,100.0
2020-04-17,233562.40089180347,1146070,161687.7796981428,,100.0
2020-04-20,236500.090385378,1220915,164630.5161672584,,100.0
2020-04-21,239511.32345382395,797034,167567.5998626633,,100.0
2020-04-22,242278.29348566727,879533,170499.40316900227,,100.0
2020-04-23,245458.4587830581,1184281,173433.29713121068,,100.0
2020-04-24,248551.5912710042,1092162,176372.6048861685,,100.0
2020-04-27,251244.34253374877,1184759,179313.6908522541,,100.0
2020-04-28,254541.9929725079,973486,182262.12147571222,,100.0
2020-04-29,257921.17080771402,942198,185217.510259998,,100.0
2020-04-30,261156.92672194596,600272,188172.69299984552,,100.0
2020-05-01,264120.9417547835,770799,191122.3465209547,,100.0
2020-05-04,266906.7912304814,1009413,194069.26633884743,,100.0
2020-05-05,270117.68157586764,1164911,197021.61317465024,,100.0
2020-05-06,273037.046186473,1106235,199976.54151452534,,100.0
2020-05-07,276281.53520054946,974351,202942.03970643075,,100.0
2020-05-08,279323.1901961648,945645,205915.19607901093,,100.0
